Tc, nu1, nu2, mu, sigma, skew, kurtosis, mean_sq_err
1.000000, 0.800000, 0.004000, 0.000399209422, 0.003663623923, -0.128900805662, 1.940157331022, 43.090918912871
1.000000, 0.800000, 0.005000, 0.000374478179, 0.003485780690, 0.016880566034, 1.147749168217, 48.472883712933
1.000000, 0.800000, 0.006000, 0.000392533107, 0.003867905467, -0.293876096966, 1.598827628745, 45.345463618439
1.000000, 0.800000, 0.007000, 0.000379454481, 0.003800857758, 0.144354732678, 2.253550262588, 41.113022177793
1.000000, 0.800000, 0.008000, 0.000401915501, 0.003420701317, 0.013772982123, 1.808480961612, 43.983184839985
1.000000, 0.800000, 0.009000, 0.000376349216, 0.003956390691, -0.038624479101, 0.929858898033, 49.990580373748
1.000000, 0.900000, 0.001000, 0.000370864850, 0.002846166977, -0.081666299820, 2.184035344831, 41.511933514842
1.000000, 0.900000, 0.002000, 0.000401901831, 0.003400274540, 0.077088505415, 2.676046660362, 38.434134242431
1.000000, 0.900000, 0.003000, 0.000401621975, 0.002866279898, 0.093763880355, 2.351111717745, 40.477509349081
1.000000, 0.900000, 0.004000, 0.000386910539, 0.003068813830, -0.133944013307, 2.415846143652, 40.024862233059
1.000000, 0.900000, 0.005000, 0.000403323877, 0.003328123332, 0.104780760219, 2.357255457956, 40.441153469335
1.000000, 0.900000, 0.006000, 0.000378383241, 0.003520146830, -0.024330870932, 2.134445070261, 41.841629281297
1.000000, 0.900000, 0.007000, 0.000371683937, 0.004088482935, -0.144351080182, 2.130367748245, 41.849639700878
1.000000, 0.900000, 0.008000, 0.000378334818, 0.003967483063, 0.095530232586, 1.329151081148, 47.236238398004
1.000000, 0.900000, 0.009000, 0.000383770371, 0.004027739010, -0.057635005408, 1.275960200452, 47.570956760357
2.000000, 0.100000, 0.001000, 0.000370030369, 0.002888699686, 0.059798659454, 1.328774778466, 47.230469206854
2.000000, 0.100000, 0.002000, 0.000377314859, 0.003722541999, -0.124688809390, 0.600609900387, 52.331607776904
2.000000, 0.100000, 0.003000, 0.000393115895, 0.004035189221, 0.039505797672, 0.541334354473, 52.789753361970
2.000000, 0.100000, 0.004000, 0.000382262844, 0.003181896605, -0.247596838969, 1.477932619076, 46.165959471076
2.000000, 0.100000, 0.005000, 0.000375038073, 0.004298657857, -0.035981429072, 0.790593744959, 50.980249993158
2.000000, 0.100000, 0.006000, 0.000405162908, 0.004181826642, 0.031397241785, 0.584596208912, 52.474306686196
2.000000, 0.100000, 0.007000, 0.000403511393, 0.004330759711, 0.008071601448, 0.325870713664, 54.359651234086
2.000000, 0.100000, 0.008000, 0.000403709260, 0.004057353670, 0.107428316858, 0.862748165327, 50.497066421479
2.000000, 0.100000, 0.009000, 0.000378958315, 0.004188430090, 0.096765552007, 0.603158532554, 52.354833808049
